system_vs_llm,scenario,mean_delta_total_return_pct,ci2_5_pct,ci97_5_pct,n_cases
RF,S0,8.21781861893127,1.2748702601509085,15.487472420560698,6
RF,S1,3.65585256930416,-4.310081113560674,11.291985746428699,6
RF,S2,6.563994956932963,1.136899624971725,12.444629747490522,6
XGBoost,S0,4.202485285597937,-1.7345918156298072,10.33085916993275,6
XGBoost,S1,2.1350025693041608,-4.575130607820378,8.576024464197411,6
XGBoost,S2,4.229178290266298,-0.18820231842301494,9.31103558613898,6
