asset,period,cash_return_pct,cash_max_drawdown_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct
AAPL,2008-2009,0.0,0.0,8.18965517241379,59.91379310344828
AAPL,2020-2021,0.0,0.0,136.47622852576907,31.43031784841075
AAPL,2022-2023,0.0,0.0,5.7799022031756575,31.311466402944887
Gold,2008-2009,0.0,0.0,27.46511627906978,29.80185203624415
Gold,2020-2021,0.0,0.0,17.791806235506293,18.32960186897692
Gold,2022-2023,0.0,0.0,15.743569801677681,20.540302451916027
