system,scenario,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio
Baseline,S0,-3.288748544517085,8.70292688004019,-0.3234709279213751,-0.43957206879872907
RMDB,S0,-4.8408059808261354,8.951451303002234,-0.5313306276168202,-0.7297812164040272
SVM,S0,-2.9206125,3.6268124999999998,-0.5521,-0.5432875
XGBoost,S0,-4.210100000000001,7.382737499999999,-0.6987125,-0.7596625
LLM,S0,-8.922101952264603,10.140398063897262,-1.4572598953578588,-1.7946256183475267
Baseline,S1,-3.288748544517085,8.70292688004019,-0.3234709279213751,-0.43957206879872907
RMDB,S1,-4.8408059808261354,8.951451303002234,-0.5313306276168202,-0.7297812164040272
SVM,S1,-1.9093375000000001,2.75665,-0.2990875,-0.32913749999999997
XGBoost,S1,1.7311375,4.539575,0.20442500000000002,0.24242500000000003
LLM,S1,-0.10143590263749402,9.107689696997816,-0.27460209695726223,-0.19766306732164282
Baseline,S2,-3.288748544517085,8.70292688004019,-0.3234709279213751,-0.43957206879872907
RMDB,S2,-4.8408059808261354,8.951451303002234,-0.5313306276168202,-0.7297812164040272
SVM,S2,-2.28985,3.059,-0.38732500000000003,-0.40595
XGBoost,S2,-0.17400000000000004,5.3289625,-0.0992375,-0.08079999999999998
LLM,S2,-4.255144956932965,7.08899752122946,-1.029560052039328,-1.1144625296642283
