run_id,case,asset,period,system,scenario,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,total_trades,win_rate_pct
AAPL_Baseline_2008_2009_S0,AAPL_2008-2009,AAPL,2008-2009,Baseline,S0,4.18500270236832,6.901769909264188,0.5144588461030632,0.7300516981935309,111,47.74774774774775
AAPL_BASELINE_2020_2021_S0,AAPL_2020-2021,AAPL,2020-2021,Baseline,S0,-0.960844864983244,8.70880305981594,-0.030031692084356014,-0.041521146553499186,177,42.3728813559322
AAPL_BASELINE_2022_2023_S0,AAPL_2022-2023,AAPL,2022-2023,Baseline,S0,-10.051517847230036,10.594141086846468,-1.079991824990439,-1.469110088413759,123,34.146341463414636
AAPL_BASELINE_2024_2025_S0,AAPL_2024-2025,AAPL,2024-2025,Baseline,S0,-6.327634168223381,8.606993464234165,-0.6983190407137686,-0.977708738421189,108,36.11111111111111
GOLD_Baseline_2008_2009_S0,GOLD_2008-2009,GOLD,2008-2009,Baseline,S0,4.18500270236832,6.901769909264188,0.5144588461030632,0.7300516981935309,111,42.34234234234234
GOLD_Baseline_2020_2021_S0,GOLD_2020-2021,GOLD,2020-2021,Baseline,S0,-0.960844864983244,8.70880305981594,-0.030031692084356014,-0.041521146553499186,96,38.54166666666667
GOLD_Baseline_2022_2023_S0,GOLD_2022-2023,GOLD,2022-2023,Baseline,S0,-10.051517847230036,10.594141086846468,-1.079991824990439,-1.469110088413759,78,41.02564102564102
GOLD_BASELINE_2024_2025_S0,GOLD_2024-2025,GOLD,2024-2025,Baseline,S0,-6.327634168223381,8.606993464234165,-0.6983190407137686,-0.977708738421189,72,36.11111111111111
AAPL_BASELINE_2008_2009_S1,AAPL_2008-2009,AAPL,2008-2009,Baseline,S1,4.18500270236832,6.901769909264188,0.5144588461030632,0.7300516981935309,108,47.22222222222222
AAPL_BASELINE_2020_2021_S1,AAPL_2020-2021,AAPL,2020-2021,Baseline,S1,-0.960844864983244,8.70880305981594,-0.030031692084356014,-0.041521146553499186,177,42.3728813559322
AAPL_BASELINE_2022_2023_S1,AAPL_2022-2023,AAPL,2022-2023,Baseline,S1,-10.051517847230036,10.594141086846468,-1.079991824990439,-1.469110088413759,123,34.146341463414636
AAPL_BASELINE_2024_2025_S1,AAPL_2024-2025,AAPL,2024-2025,Baseline,S1,-6.327634168223381,8.606993464234165,-0.6983190407137686,-0.977708738421189,108,36.11111111111111
GOLD_Baseline_2008_2009_S1,GOLD_2008-2009,GOLD,2008-2009,Baseline,S1,4.18500270236832,6.901769909264188,0.5144588461030632,0.7300516981935309,80,40.50632911392405
GOLD_Baseline_2020_2021_S1,GOLD_2020-2021,GOLD,2020-2021,Baseline,S1,-0.960844864983244,8.70880305981594,-0.030031692084356014,-0.041521146553499186,96,38.54166666666667
GOLD_Baseline_2022_2023_S1,GOLD_2022-2023,GOLD,2022-2023,Baseline,S1,-10.051517847230036,10.594141086846468,-1.079991824990439,-1.469110088413759,78,41.02564102564102
GOLD_BASELINE_2024_2025_S1,GOLD_2024-2025,GOLD,2024-2025,Baseline,S1,-6.327634168223381,8.606993464234165,-0.6983190407137686,-0.977708738421189,72,36.11111111111111
AAPL_BASELINE_2008_2009_S2,AAPL_2008-2009,AAPL,2008-2009,Baseline,S2,4.18500270236832,6.901769909264188,0.5144588461030632,0.7300516981935309,108,47.22222222222222
AAPL_BASELINE_2020_2021_S2,AAPL_2020-2021,AAPL,2020-2021,Baseline,S2,-0.960844864983244,8.70880305981594,-0.030031692084356014,-0.041521146553499186,177,42.3728813559322
AAPL_BASELINE_2022_2023_S2,AAPL_2022-2023,AAPL,2022-2023,Baseline,S2,-10.051517847230036,10.594141086846468,-1.079991824990439,-1.469110088413759,123,34.146341463414636
AAPL_BASELINE_2024_2025_S2,AAPL_2024-2025,AAPL,2024-2025,Baseline,S2,-6.327634168223381,8.606993464234165,-0.6983190407137686,-0.977708738421189,108,36.11111111111111
GOLD_Baseline_2008_2009_S2,GOLD_2008-2009,GOLD,2008-2009,Baseline,S2,4.18500270236832,6.901769909264188,0.5144588461030632,0.7300516981935309,75,40.0
GOLD_Baseline_2020_2021_S2,GOLD_2020-2021,GOLD,2020-2021,Baseline,S2,-0.960844864983244,8.70880305981594,-0.030031692084356014,-0.041521146553499186,96,38.54166666666667
GOLD_Baseline_2022_2023_S2,GOLD_2022-2023,GOLD,2022-2023,Baseline,S2,-10.051517847230036,10.594141086846468,-1.079991824990439,-1.469110088413759,78,41.02564102564102
GOLD_BASELINE_2024_2025_S2,GOLD_2024-2025,GOLD,2024-2025,Baseline,S2,-6.327634168223381,8.606993464234165,-0.6983190407137686,-0.977708738421189,72,36.11111111111111
AAPL_BACKTEST_2008_2009_S0,AAPL_2008-2009,AAPL,2008-2009,LLM,S0,-2.4013541702750105,4.347694017142366,-0.465223833781772,-0.6271239386734112,42,28.57142857142857
AAPL_BACKTEST_2020_2021_S0,AAPL_2020-2021,AAPL,2020-2021,LLM,S0,-8.010989415420966,9.502173494056333,-1.059246136688907,-1.3628983255388194,60,26.666666666666668
AAPL_BACKTEST_2022_2023_S0,AAPL_2022-2023,AAPL,2022-2023,LLM,S0,-5.204687661211472,5.204687661211472,-1.4128518135057468,-1.7882545144859723,21,14.285714285714285
AAPL_BACKTEST_2024_2025_S0,AAPL_2024-2025,AAPL,2024-2025,LLM,S0,-1.9125173218692566,3.190681999647973,-0.6384571124633047,-0.7902727034906584,10,20.0
GOLD_AI_2008_2009_S0,GOLD_2008-2009,GOLD,2008-2009,LLM,S0,-7.400015206527177,9.068239423531592,-1.339712895176012,-1.6827012251096762,34,20.588235294117645
GOLD_AI_2008_2009_S0,GOLD_2008-2009,GOLD,2008-2009,LLM,S0,-14.41582269140531,14.56029322370843,-2.802948129634427,-3.25411276778279,63,26.984126984126984
GOLD_AI_2020_2021_S0,GOLD_2020-2021,GOLD,2020-2021,LLM,S0,-16.099742568747683,18.15930056373338,-1.6635765633602895,-2.052662938494491,94,34.04255319148936
GOLD_BACKTEST_2024_2025_S0,GOLD_2024-2025,GOLD,2024-2025,LLM,S0,-2.8965814742344267,8.082313013363086,-0.3949126011794398,-0.51585594009297,36,36.11111111111111
AAPL_BACKTEST_2008_2009_S1,AAPL_2008-2009,AAPL,2008-2009,LLM,S1,7.8404251627525126,13.102455573925864,0.838402755517309,1.202932086876154,134,35.82089552238806
AAPL_BACKTEST_2020_2021_S1,AAPL_2020-2021,AAPL,2020-2021,LLM,S1,4.851821620400346,4.625390825299243,0.569728213871959,0.8291416010245307,106,33.9622641509434
AAPL_BACKTEST_2022_2023_S1,AAPL_2022-2023,AAPL,2022-2023,LLM,S1,-2.305183327525515,2.305183327525515,-1.9490817256093775,-1.9390172013282525,7,0.0
AAPL_BACKTEST_2024_2025_S1,AAPL_2024-2025,AAPL,2024-2025,LLM,S1,-4.664254285933907,8.889420682419171,-0.4521521952209494,-0.5901080088326753,63,28.57142857142857
