Feature,Group,Mean_Abs_SHAP
close_pct_1d,returns,0.26033285
ema_50,EMA,0.23255159
macd_hist,MACD,0.20389959
ema_20,EMA,0.19424851
volume_ratio,volume ratio,0.18803662
close_pct_5d,returns,0.18359964
rsi_14,RSI,0.17555635
atr_14,ATR,0.17526084
close_pct_20d,returns,0.14221986
macd_signal,MACD,0.1327528
macd,MACD,0.13161571
vol_gate_flag,volatility gate,0.0
