date,daily_return,equity
2008-01-02,-5.750422500625518e-05,999.9424957749937
2008-01-03,0.0001956320821365076,1000.138116607459
2008-01-04,0.000423875315313722,1000.5620504669932
2008-01-07,0.0022821564815300867,1002.8454896356395
2008-01-08,0.6399273823567648,1644.5937787264625
2008-01-09,0.0,1644.5937787264625
2008-01-10,0.0,1644.5937787264625
2008-01-11,0.0,1644.5937787264625
2008-01-14,0.0,1644.5937787264625
2008-01-15,0.0,1644.5937787264625
2008-01-16,0.0,1644.5937787264625
2008-01-17,0.0,1644.5937787264625
2008-01-18,0.0,1644.5937787264625
2008-01-22,0.0,1644.5937787264625
2008-01-23,0.0,1644.5937787264625
2008-01-24,0.0,1644.5937787264625
2008-01-25,0.0,1644.5937787264625
2008-01-28,-5.297850455700452e-06,1644.5850659145624
2008-01-29,4.407978711725571e-05,1644.6575588741641
2008-01-30,8.803167625677087e-06,1644.6720370703417
2008-01-31,-8.636602150637188e-05,1644.5299932898172
2008-02-01,3.369649403257847e-05,1644.5854081849225
2008-02-04,5.715863854173124e-05,1644.67941044782
2008-02-05,6.57841707213743e-05,1644.7876043189387
2008-02-06,-0.0004775307092226278,1644.0021677277277
2008-02-07,1.6695051556223743e-05,1644.0296144286765
2008-02-08,-9.496842762093835e-05,1643.873483521232
2008-02-11,-0.0002045340003393239,1643.5372555015956
2008-02-12,6.75454654018417e-05,1643.6482689904237
2008-02-13,-5.099450521380269e-05,1643.564451960201
2008-02-14,0.00010714279283216656,1643.7405480457837
2008-02-15,0.0,1643.7405480457837
2008-02-19,0.0,1643.7405480457837
2008-02-20,-1.4865386988865436e-05,1643.7161132064277
2008-02-21,0.2630134612322491,2076.0355774240697
2008-02-22,-0.0019077420540274724,2072.0750370473606
2008-02-25,-6.930225517010601e-05,2071.9314375744116
2008-02-26,-0.00011479500801837626,2071.6935901884217
2008-02-27,0.0003728658961316853,2072.4660540754376
2008-02-28,-0.0006732756120480728,2071.070713224431
2008-02-29,0.0,2071.070713224431
2008-03-03,0.0,2071.070713224431
2008-03-04,0.0,2071.070713224431
2008-03-05,0.0,2071.070713224431
2008-03-06,0.0,2071.070713224431
2008-03-07,-1.0625975601405701e-05,2071.0487060775636
2008-03-10,-4.195342376618938e-05,2070.961818493557
2008-03-11,-3.332353036986943e-05,2070.8928067345037
2008-03-12,-0.0001707563849551161,2070.539188565196
2008-03-13,0.00016148476297531242,2070.8735490952927
2008-03-14,-2.5109977931106116e-05,2070.821549506177
2008-03-17,5.656150311093614e-05,2070.9386782856914
2008-03-18,-1.3617972138571845e-05,2070.91047630047
2008-03-19,8.417464548038198e-05,2071.084794455634
2008-03-20,-3.934872055134337e-05,2071.003299918819
2008-03-24,0.001635537499166696,2074.390503476734
2008-03-25,8.502387771341195e-05,2074.5668762012315
2008-03-26,-0.00013385735190830884,2074.2891801728265
2008-03-27,-0.0002677156714363742,2073.7338604522033
2008-03-28,-0.0008929685711864636,2071.8820812898143
2008-03-31,-0.00048370125201578455,2070.8799093330654
2008-04-01,0.00035426749905359935,2071.613554779385
2008-04-02,-9.588882820115103e-05,2071.4149101831317
2008-04-03,0.0005784730297162252,2072.6131678420247
2008-04-04,-0.010794286120993634,2050.240788290199
2008-04-07,0.0004993069032717675,2051.2644876691616
2008-04-08,-4.117372327307728e-05,2051.1800294727864
2008-04-09,-6.037838327123067e-05,2051.0561825388086
