entry_date,exit_date,entry,exit,pnl,hold_days,type
2020-01-02,2020-01-06,1412.5412785010367,1303.2185518129913,-10.193683868154936,4,Stop Loss
2020-01-08,2020-01-09,1243.4886190770292,1247.4697263195646,0.25851685259961305,1,Signal Exit
2020-01-14,2020-01-15,1246.8848916980314,1246.6238584118685,-0.17882361662044363,1,Signal Exit
2020-01-21,2020-01-24,420.4732338171223,415.7116774951967,-0.299383699344228,3,Signal Exit
2020-01-27,2020-02-06,415.0291328955478,1773.7986349454932,102.7760041741681,10,Signal Exit
2020-02-19,2020-02-21,1797.0256476414945,1725.4838525055043,-5.5123893514319935,2,Signal Exit
2020-02-26,2020-02-28,1719.510905189828,1697.1425394030794,-2.0802262327814973,2,Signal Exit
2020-03-03,2020-03-05,1207.4102692608549,1194.3501001968268,-0.9141332568453173,2,Signal Exit
2020-03-10,2020-03-11,1180.5130760715867,1178.629627384335,-0.2523928512119288,1,Signal Exit
2020-03-12,2020-03-13,1173.713361576258,1193.8198841079106,1.7617085751102657,1,Signal Exit
2020-03-20,2020-03-25,1293.8037534945947,1283.0904818414747,-1.281783564720167,5,Signal Exit
2020-04-02,2020-04-09,559.4832622106746,570.4995392786528,0.7409961538068573,7,Signal Exit
2020-04-13,2020-04-16,575.9676877363071,1094.9613868198785,53.940272216269136,3,Signal Exit
2020-04-22,2020-04-24,1134.803886344396,1149.1417964828283,1.2127066375960205,2,Signal Exit
2020-04-27,2020-04-28,1129.7354135660892,1019.2497673329256,-11.579942409891041,1,Stop Loss
2020-04-28,2020-04-30,423.9959542550786,432.84756320794867,0.4725408015911744,2,Signal Exit
2020-05-01,2020-05-06,436.1435710582049,442.57185802573633,0.4096427609044803,5,Signal Exit
2020-05-07,2020-05-12,443.1907416843795,671.9427451463735,20.67441596670322,5,Signal Exit
2020-05-13,2020-05-18,664.7650738466418,647.65148497555,-1.5975047638302096,5,Signal Exit
2020-05-19,2020-05-29,652.7665789114641,588.0557434581386,-7.304033371502245,10,Signal Exit
2020-06-01,2020-06-02,590.485744436214,598.3801660459167,1.2117981166406322,1,Signal Exit
2020-06-03,2020-06-04,600.8612161731161,607.113188303667,1.0364052343453525,1,Signal Exit
2020-06-05,2020-06-08,606.984464319652,619.882814546289,2.479096167297757,3,Signal Exit
2020-06-09,2020-06-23,928.6727129583542,832.3318590668399,-11.617952063214458,14,Stop Loss
2020-06-24,2020-07-01,826.7620445319768,794.4061597275726,-5.1839190900912655,7,Signal Exit
2020-07-03,2020-07-20,803.762673414272,1287.9038787329912,92.89924004380075,17,Signal Exit
2020-07-21,2020-07-31,1611.9469457405164,1593.1988607717578,-1.959768353075017,10,Signal Exit
2020-08-26,2020-08-31,885.8364424062217,879.5213495607007,-0.7348924948076063,5,Signal Exit
2020-09-07,2020-09-11,3112.529833609576,3084.5476362381937,-1.1157984262163965,4,Signal Exit
2020-09-15,2020-09-16,2160.0649863106833,2169.2250566201214,0.20146824829361645,1,Signal Exit
2020-09-17,2020-09-22,2163.690034493016,2154.9198012791535,-0.3584888507213507,5,Signal Exit
2020-10-12,2020-10-13,1860.4492931164648,1677.1318523120954,-12.363760255989192,1,Stop Loss
2020-10-14,2020-10-19,377.6862955755444,382.9263105084567,0.1652300934155898,5,Signal Exit
2020-10-20,2020-10-21,379.6590763705665,385.18980523711895,0.23218852960126288,1,Signal Exit
2020-10-22,2020-10-23,385.84392895417506,388.45060421014927,0.11541545544838648,1,Signal Exit
2020-10-26,2020-11-09,388.2989632759455,1497.890690948899,66.40805310746588,14,Signal Exit
2020-11-10,2020-11-16,1301.7182421360528,1301.8454494311097,-0.06812532394214721,6,Signal Exit
2020-11-19,2020-11-20,1291.546458022682,1287.1059325064437,-0.4956321730449948,1,Signal Exit
