scenario,ref,mdd_wins,ret_wins,mdd_adv
S0,vs LLM,6,6,12.1583
S0,vs SVM,0,6,-2.0398
S1,vs SVM,1,6,-1.3127
S2,vs SVM,1,6,-1.3556
