Feature,Group,Importance
close_pct_1d,returns,0.08981522
macd,MACD,0.088065214
macd_signal,MACD,0.08725354
close_pct_5d,returns,0.08697711
rsi_14,RSI,0.08577127
ema_50,EMA,0.08563487
macd_hist,MACD,0.085495666
ema_20,EMA,0.08435415
volume_ratio,volume ratio,0.08433884
close_pct_20d,returns,0.0842758
atr_14,ATR,0.08358139
vol_gate_flag,volatility gate,0.05443691
