Feature,Group,Importance
macd_hist,MACD,0.00890716294391033
volume_ratio,volume ratio,0.006226356670416638
macd_signal,MACD,0.005978421747346419
close_pct_5d,returns,0.005447150406987404
close_pct_20d,returns,0.005172085320238838
macd,MACD,0.004928544377209678
close_pct_1d,returns,0.004511400578431915
atr_14,ATR,0.00410140894377168
ema_50,EMA,0.003378829808877798
rsi_14,RSI,0.003269930485718116
ema_20,EMA,0.0025008212129443135
vol_gate_flag,volatility gate,0.0
